game_turn,player_name,num_cities,population,techs,civics,land_units,corps,armies,naval_units,tiles_owned,tiles_improved,balance_gold,balance_faith,yield_science,yield_culture,yield_gold,yield_faith,yield_production,yield_food,data_source,loaded_at
10,CIVILIZATION_MAYA,1,2,1,0,1,0,0,0,9,0,87,0,4,1,10,0,3,6,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_VILNIUS,1,2,0,0,2,0,0,0,7,0,55,0,3,1,5,0,2,6,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_SAMARKAND,1,2,0,0,2,0,0,0,7,1,55,0,3,1,5,0,3,6,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_PRESLAV,1,1,1,0,2,0,0,0,7,1,55,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_JOHANNESBURG,1,2,0,0,2,0,0,0,7,0,55,0,3,1,5,0,3,6,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_MEXICO_CITY,1,2,0,0,2,0,0,0,7,0,55,0,3,1,5,0,2,8,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_LAHORE,1,2,0,1,2,0,0,0,7,1,55,0,3,2,5,0,4,6,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_PALENQUE,1,2,0,0,2,0,0,0,8,0,59,0,3,1,6,0,3,6,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_ANTIOCH,1,2,0,0,2,0,0,0,7,0,55,0,3,1,5,0,2,6,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_FEZ,1,1,0,0,2,0,0,0,7,0,55,0,2,1,5,0,3,3,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_FREE_CITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_POLAND,1,1,1,0,1,0,0,0,8,0,60,0,2,3,5,0,7,3,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_NORWAY,1,1,0,0,1,0,0,0,8,0,70,0,2,2,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_MAPUCHE,1,2,1,0,1,0,0,0,8,0,70,0,3,2,6,0,4,8,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_GERMANY,1,2,1,0,1,0,0,0,8,1,70,0,3,1,6,0,7,7,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_GAUL,1,1,1,0,1,0,0,0,8,1,74,0,2,1,8,0,4,4,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_MAYA,1,2,1,0,1,0,0,0,9,0,98,4,4,1,10,4,3,6,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_VILNIUS,1,2,1,0,2,0,0,0,7,0,60,0,3,1,5,0,2,6,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_SAMARKAND,1,2,1,0,2,0,0,0,7,1,60,0,3,1,5,0,3,6,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_PRESLAV,1,1,1,0,2,0,0,0,7,1,60,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_JOHANNESBURG,1,2,1,0,2,0,0,0,7,0,60,0,3,1,5,0,3,6,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_MEXICO_CITY,1,2,1,0,2,0,0,0,7,1,60,0,3,1,5,0,2,8,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_LAHORE,1,2,1,1,2,0,0,0,7,1,60,0,3,2,5,0,4,6,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_PALENQUE,1,2,1,0,2,0,0,0,8,0,65,0,3,1,6,0,3,6,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_ANTIOCH,1,2,1,0,2,0,0,0,7,0,60,0,3,1,5,0,2,6,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_FEZ,1,1,1,0,2,0,0,0,7,0,60,0,2,1,5,0,3,3,player_stats,2025-08-03 19:13:55.339088
11,CIVILIZATION_FREE_CITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
12,CIVILIZATION_POLAND,1,1,1,0,1,0,0,0,8,0,65,0,2,3,5,0,7,3,player_stats,2025-08-03 19:13:55.339088
12,CIVILIZATION_NORWAY,1,1,0,0,1,0,0,0,8,1,76,0,2,2,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
